year,month,day,SunshineDuration,Tmin,Tmax,rainfall,windspeed
1977,1,1,0.0,-9999,-9999,-9999,0.0
1977,1,2,0.0,-9999,-9999,-9999,0.0
1977,1,3,0.0,-9999,-9999,-9999,0.0
1977,1,4,0.0,-9999,-9999,-9999,0.0
1977,1,5,0.0,-9999,-9999,-9999,0.0
1977,1,6,0.0,-9999,-9999,-9999,0.0
1977,1,7,0.0,-9999,-9999,-9999,0.0
1977,1,8,0.0,-9999,-9999,-9999,0.0
1977,1,9,0.0,-9999,-9999,-9999,0.0
1977,1,10,0.0,-9999,-9999,-9999,0.0
1977,1,11,0.0,-9999,-9999,-9999,0.0
1977,1,12,0.0,-9999,-9999,-9999,0.0
1977,1,13,0.0,-9999,-9999,-9999,0.0
1977,1,14,0.0,-9999,-9999,-9999,0.0
1977,1,15,0.0,-9999,-9999,-9999,0.0
1977,1,16,0.0,-9999,-9999,-9999,0.0
1977,1,17,0.0,-9999,-9999,-9999,0.0
1977,1,18,0.0,-9999,-9999,-9999,0.0
1977,1,19,0.0,-9999,-9999,-9999,0.0
1977,1,20,0.0,-9999,-9999,-9999,0.0
1977,1,21,0.0,-9999,-9999,-9999,0.0
1977,1,22,0.0,-9999,-9999,-9999,0.0
1977,1,23,0.0,-9999,-9999,-9999,0.0
1977,1,24,0.0,-9999,-9999,-9999,0.0
1977,1,25,0.0,-9999,-9999,-9999,0.0
1977,1,26,0.0,-9999,-9999,-9999,0.0
1977,1,27,0.0,-9999,-9999,-9999,0.0
1977,1,28,0.0,-9999,-9999,-9999,0.0
1977,1,29,0.0,-9999,-9999,-9999,0.0
1977,1,30,0.0,-9999,-9999,-9999,0.0
1977,1,31,0.0,-9999,-9999,-9999,0.0
1977,2,1,0.0,-9999,-9999,-9999,0.0
1977,2,2,0.0,-9999,-9999,-9999,0.0
1977,2,3,0.0,-9999,-9999,-9999,0.0
1977,2,4,0.0,-9999,-9999,-9999,0.0
1977,2,5,0.0,-9999,-9999,-9999,0.0
1977,2,6,0.0,-9999,-9999,-9999,0.0
1977,2,7,0.0,-9999,-9999,-9999,0.0
1977,2,8,0.0,-9999,-9999,-9999,0.0
1977,2,9,0.0,-9999,-9999,-9999,0.0
1977,2,10,0.0,-9999,-9999,-9999,0.0
1977,2,11,0.0,-9999,-9999,-9999,0.0
1977,2,12,0.0,-9999,-9999,-9999,0.0
1977,2,13,0.0,-9999,-9999,-9999,0.0
1977,2,14,0.0,-9999,-9999,-9999,0.0
1977,2,15,0.0,-9999,-9999,-9999,0.0
1977,2,16,0.0,-9999,-9999,-9999,0.0
1977,2,17,0.0,-9999,-9999,-9999,0.0
1977,2,18,0.0,-9999,-9999,-9999,0.0
1977,2,19,0.0,-9999,-9999,-9999,0.0
1977,2,20,0.0,-9999,-9999,-9999,0.0
1977,2,21,0.0,-9999,-9999,-9999,0.0
1977,2,22,0.0,-9999,-9999,-9999,0.0
1977,2,23,0.0,-9999,-9999,-9999,0.0
1977,2,24,0.0,-9999,-9999,-9999,0.0
1977,2,25,0.0,-9999,-9999,-9999,0.0
1977,2,26,0.0,-9999,-9999,-9999,0.0
1977,2,27,0.0,-9999,-9999,-9999,0.0
1977,2,28,0.0,-9999,-9999,-9999,0.0
1977,3,1,0.0,-9999,-9999,-9999,0.0
1977,3,2,0.0,-9999,-9999,-9999,0.0
1977,3,3,0.0,-9999,-9999,-9999,0.0
1977,3,4,0.0,-9999,-9999,-9999,0.0
1977,3,5,0.0,-9999,-9999,-9999,0.0
1977,3,6,0.0,-9999,-9999,-9999,0.0
1977,3,7,0.0,-9999,-9999,-9999,0.0
1977,3,8,0.0,-9999,-9999,-9999,0.0
1977,3,9,0.0,-9999,-9999,-9999,0.0
1977,3,10,0.0,-9999,-9999,-9999,0.0
1977,3,11,0.0,-9999,-9999,-9999,0.0
1977,3,12,0.0,-9999,-9999,-9999,0.0
1977,3,13,0.0,-9999,-9999,-9999,0.0
1977,3,14,0.0,-9999,-9999,-9999,0.0
1977,3,15,0.0,-9999,-9999,-9999,0.0
1977,3,16,0.0,-9999,-9999,-9999,0.0
1977,3,17,0.0,-9999,-9999,-9999,0.0
1977,3,18,0.0,-9999,-9999,-9999,0.0
1977,3,19,0.0,-9999,-9999,-9999,0.0
1977,3,20,0.0,-9999,-9999,-9999,0.0
1977,3,21,0.0,-9999,-9999,-9999,0.0
1977,3,22,0.0,-9999,-9999,-9999,0.0
1977,3,23,0.0,-9999,-9999,-9999,0.0
1977,3,24,0.0,-9999,-9999,-9999,0.0
1977,3,25,0.0,-9999,-9999,-9999,0.0
1977,3,26,0.0,-9999,-9999,-9999,0.0
1977,3,27,0.0,-9999,-9999,-9999,0.0
1977,3,28,0.0,-9999,-9999,-9999,0.0
1977,3,29,0.0,-9999,-9999,-9999,0.0
1977,3,30,0.0,-9999,-9999,-9999,0.0
1977,3,31,0.0,-9999,-9999,-9999,0.0
1977,4,1,0.0,-9999,-9999,-9999,0.0
1977,4,2,0.0,-9999,-9999,-9999,0.0
1977,4,3,0.0,-9999,-9999,-9999,0.0
1977,4,4,0.0,-9999,-9999,-9999,0.0
1977,4,5,0.0,-9999,-9999,-9999,0.0
1977,4,6,0.0,-9999,-9999,-9999,0.0
1977,4,7,0.0,-9999,-9999,-9999,0.0
1977,4,8,0.0,-9999,-9999,-9999,0.0
1977,4,9,0.0,-9999,-9999,-9999,0.0
1977,4,10,0.0,-9999,-9999,-9999,0.0
1977,4,11,0.0,-9999,-9999,-9999,0.0
1977,4,12,0.0,-9999,-9999,-9999,0.0
1977,4,13,0.0,-9999,-9999,-9999,0.0
1977,4,14,0.0,-9999,-9999,-9999,0.0
1977,4,15,0.0,-9999,-9999,-9999,0.0
1977,4,16,0.0,-9999,-9999,-9999,0.0
1977,4,17,0.0,-9999,-9999,-9999,0.0
1977,4,18,0.0,-9999,-9999,-9999,0.0
1977,4,19,0.0,-9999,-9999,-9999,0.0
1977,4,20,0.0,-9999,-9999,-9999,0.0
1977,4,21,0.0,-9999,-9999,-9999,0.0
1977,4,22,0.0,-9999,-9999,-9999,0.0
1977,4,23,0.0,-9999,-9999,-9999,0.0
1977,4,24,0.0,-9999,-9999,-9999,0.0
1977,4,25,0.0,-9999,-9999,-9999,0.0
1977,4,26,0.0,-9999,-9999,-9999,0.0
1977,4,27,0.0,-9999,-9999,-9999,0.0
1977,4,28,0.0,-9999,-9999,-9999,0.0
1977,4,29,0.0,-9999,-9999,-9999,0.0
1977,4,30,0.0,-9999,-9999,-9999,0.0
1977,5,1,0.0,-9999,-9999,-9999,0.0
1977,5,2,0.0,-9999,-9999,-9999,0.0
1977,5,3,0.0,-9999,-9999,-9999,0.0
1977,5,4,0.0,-9999,-9999,-9999,0.0
1977,5,5,0.0,-9999,-9999,-9999,0.0
1977,5,6,0.0,-9999,-9999,-9999,0.0
1977,5,7,0.0,-9999,-9999,-9999,0.0
1977,5,8,0.0,-9999,-9999,-9999,0.0
1977,5,9,0.0,-9999,-9999,0.0,0.0
1977,5,10,0.0,-9999,-9999,0.0,0.0
1977,5,11,0.0,-9999,-9999,0.0,0.0
1977,5,12,0.0,-9999,-9999,0.0,0.0
1977,5,13,0.0,-9999,-9999,0.0,0.0
1977,5,14,0.0,-9999,-9999,0.0,0.0
1977,5,15,0.0,-9999,-9999,0.0,0.0
1977,5,16,0.0,-9999,-9999,4.0,0.0
1977,5,17,0.0,-9999,-9999,3.0,0.0
1977,5,18,0.0,-9999,-9999,8.0,0.0
1977,5,19,0.0,-9999,-9999,0.0,0.0
1977,5,20,0.0,-9999,-9999,1.0,0.0
1977,5,21,0.0,-9999,-9999,0.0,0.0
1977,5,22,0.0,-9999,-9999,0.0,0.0
1977,5,23,0.0,-9999,-9999,0.0,0.0
1977,5,24,0.0,-9999,-9999,0.0,0.0
1977,5,25,0.0,-9999,-9999,0.0,0.0
1977,5,26,0.0,-9999,-9999,0.0,0.0
1977,5,27,0.0,-9999,-9999,0.0,0.0
1977,5,28,0.0,-9999,-9999,12.0,0.0
1977,5,29,0.0,-9999,-9999,0.0,0.0
1977,5,30,0.0,-9999,-9999,0.0,0.0
1977,5,31,0.0,-9999,-9999,0.0,0.0
1977,6,1,0.0,-9999,-9999,0.0,0.0
1977,6,2,0.0,-9999,-9999,1.0,0.0
1977,6,3,0.0,-9999,-9999,0.0,0.0
1977,6,4,0.0,-9999,-9999,0.0,0.0
1977,6,5,0.0,-9999,-9999,0.0,0.0
1977,6,6,0.0,-9999,-9999,0.0,0.0
1977,6,7,0.0,-9999,-9999,0.0,0.0
1977,6,8,0.0,-9999,-9999,0.0,0.0
1977,6,9,0.0,-9999,-9999,0.0,0.0
1977,6,10,0.0,-9999,-9999,0.0,0.0
1977,6,11,0.0,-9999,-9999,0.0,0.0
